n,time,threads
3686400,3.900343,16
3686400,20.369552,3
3686400,10.655622,6
3686400,7.067106,9
3686400,5.326291,12
3686400,4.266359,15
3686400,4.236101,18
3686400,3.976248,21
3686400,3.729583,24
3686400,15.278486,4
3686400,8.218741,8
3686400,5.583812,12
3686400,4.042644,16
3686400,3.479162,20
3686400,3.334406,24
3686400,2.529440,28
3686400,5.028971,32
3686400,12.077340,5
3686400,6.520246,10
3686400,4.428230,15
3686400,4.763934,20
3686400,3.990417,25
3686400,3.927996,30
3686400,2.887807,35
3686400,6.106187,40
3686400,12.231768,6
3686400,6.389159,12
3686400,5.754624,18
3686400,2.232287,24
3686400,2.900678,30
3686400,4.267413,36
3686400,2.929319,42
3686400,3.048030,48
3686400,11.384507,7
3686400,5.743850,14
3686400,3.077285,21
3686400,4.362331,28
3686400,3.696946,35
3686400,3.436379,42
3686400,3.380944,49
3686400,1.965223,56
3686400,12.699174,8
3686400,5.316948,16
3686400,2.528102,24
3686400,2.188557,32
3686400,6.551610,40
3686400,3.330674,48
3686400,3.019346,56
3686400,3.089823,64
3686400,33.349058,1
3686400,17.628689,2
3686400,20.642560,3
3686400,14.852302,4
3686400,11.941180,5
3686400,10.426928,6
3686400,8.784348,7
3686400,7.814715,8
3686400,16.410581,2
3686400,15.403473,4
3686400,10.657451,6
3686400,7.858083,8
3686400,6.255079,10
3686400,5.241228,12
3686400,4.565348,14
3686400,4.137852,16
3686400,21.043948,3
3686400,10.981507,6
3686400,7.274935,9
3686400,5.616952,12
3686400,4.662941,15
3686400,3.564206,18
3686400,3.175246,21
3686400,3.021857,24
3686400,13.917589,4
3686400,8.080879,8
3686400,5.355393,12
3686400,4.155174,16
3686400,3.426991,20
3686400,3.023432,24
3686400,2.909490,28
3686400,3.921189,32
3686400,12.087249,5
3686400,13.564578,10
3686400,4.887897,15
3686400,4.283406,20
3686400,3.671048,25
3686400,2.703437,30
3686400,2.679281,35
3686400,3.376392,40
3686400,12.766827,6
3686400,6.342368,12
3686400,2.472333,18
3686400,2.891962,24
3686400,3.866133,30
3686400,2.471226,36
3686400,3.171902,42
3686400,2.047300,48
3686400,10.552008,7
3686400,5.688418,14
3686400,2.465228,21
3686400,2.598793,28
3686400,3.275683,35
3686400,2.284788,42
3686400,2.728071,49
3686400,4.027129,56
3686400,8.466535,8
3686400,5.968363,16
3686400,2.180491,24
3686400,2.230449,32
3686400,3.489229,40
3686400,2.048199,48
3686400,2.137307,56
3686400,2.954527,64
3686400,20.642560,3
3686400,14.852302,4
3686400,11.941180,5
3686400,10.426928,6
3686400,8.784348,7
3686400,7.814715,8
3686400,16.410581,2
3686400,15.403473,4
3686400,10.657451,6
3686400,7.858083,8
3686400,6.255079,10
3686400,5.241228,12
3686400,4.565348,14
3686400,4.137852,16
3686400,21.043948,3
3686400,10.981507,6
3686400,7.274935,9
3686400,5.616952,12
3686400,4.662941,15
3686400,3.564206,18
3686400,3.175246,21
3686400,3.021857,24
