n,time,vectorlength,platform
540,0.199853,8,amd
560,0.223481,8,amd
580,0.244826,8,amd
600,0.279784,8,amd
620,0.301044,8,amd
640,0.335082,8,amd
660,0.348218,8,amd
680,0.381145,8,amd
700,0.419666,8,amd
720,0.462421,8,amd
740,0.491203,8,amd
760,0.531096,8,amd
780,0.571561,8,amd
800,0.614966,8,amd
820,0.639586,8,amd
840,0.698231,8,amd
860,0.742382,8,amd
880,0.794112,8,amd
900,0.845180,8,amd
920,0.888743,8,amd
940,0.966020,8,amd
960,1.018644,8,amd
980,1.087859,8,amd
1000,1.569808,8,amd
1050,1.820776,8,amd
1100,1.949473,8,amd
1150,2.407220,8,amd
1200,2.638524,8,amd
1250,4.007956,8,amd
1300,4.520999,8,amd
1350,5.534886,8,amd
1400,6.531360,8,amd
1450,6.902008,8,amd
1500,7.971608,8,amd
1550,9.492116,8,amd
1600,10.868781,8,amd
1650,12.817540,8,amd
1700,14.439553,8,amd
1750,16.279982,8,amd
1800,17.226114,8,amd
1850,19.565760,8,amd
1900,20.337464,8,amd
1950,22.711578,8,amd
2000,24.113747,8,amd
2100,27.985340,8,amd
2200,31.641859,8,amd
2300,35.733739,8,amd
2400,40.676619,8,amd
2500,45.470544,8,amd
2600,51.244504,8,amd
2700,57.776944,8,amd
2800,63.344949,8,amd
2900,70.872945,8,amd
3000,78.550171,8,amd
3200,93.841518,8,amd
3400,112.366626,8,amd
3600,132.643082,8,amd
3800,155.265310,8,amd
4000,180.219102,8,amd
4200,207.640684,8,amd
4400,238.457249,8,amd
4600,271.468108,8,amd
4800,305.458926,8,amd
5000,356.679419,8,amd
20,0.000865,16,amd
30,0.000829,16,amd
40,0.000944,16,amd
50,0.001261,16,amd
60,0.001816,16,amd
70,0.002230,16,amd
80,0.002216,16,amd
90,0.002486,16,amd
100,0.003102,16,amd
110,0.004218,16,amd
120,0.004562,16,amd
130,0.005728,16,amd
140,0.007461,16,amd
150,0.007873,16,amd
160,0.009208,16,amd
170,0.010421,16,amd
180,0.011311,16,amd
190,0.014098,16,amd
200,0.015010,16,amd
210,0.017182,16,amd
220,0.019869,16,amd
230,0.022202,16,amd
240,0.025175,16,amd
250,0.027583,16,amd
260,0.028829,16,amd
270,0.034909,16,amd
280,0.035958,16,amd
290,0.040091,16,amd
300,0.043378,16,amd
310,0.048562,16,amd
320,0.052830,16,amd
330,0.058371,16,amd
340,0.058608,16,amd
350,0.069087,16,amd
360,0.069477,16,amd
370,0.076764,16,amd
380,0.081051,16,amd
390,0.089093,16,amd
400,0.096913,16,amd
410,0.102690,16,amd
420,0.100416,16,amd
430,0.117418,16,amd
440,0.116153,16,amd
450,0.127991,16,amd
460,0.134758,16,amd
470,0.145644,16,amd
480,0.151949,16,amd
490,0.167332,16,amd
500,0.165123,16,amd
520,0.189792,16,amd
540,0.212759,16,amd
560,0.237127,16,amd
580,0.253556,16,amd
600,0.284961,16,amd
620,0.305107,16,amd
640,0.343100,16,amd
660,0.357083,16,amd
680,0.399124,16,amd
700,0.429624,16,amd
720,0.478644,16,amd
740,0.494728,16,amd
760,0.530939,16,amd
780,0.592393,16,amd
800,0.624731,16,amd
820,0.649084,16,amd
840,0.707397,16,amd
860,0.747971,16,amd
880,0.816408,16,amd
900,0.840996,16,amd
920,0.904570,16,amd
940,0.962979,16,amd
960,1.041397,16,amd
980,1.067910,16,amd
1000,1.255964,16,amd
1050,1.531744,16,amd
1100,1.715698,16,amd
1150,2.118398,16,amd
1200,2.419590,16,amd
1250,3.518372,16,amd
1300,4.203982,16,amd
1350,5.212989,16,amd
1400,6.186459,16,amd
1450,7.470709,16,amd
1500,8.671387,16,amd
1550,10.053495,16,amd
1600,11.060023,16,amd
1650,12.343950,16,amd
1700,13.443764,16,amd
1750,14.854607,16,amd
1800,16.020094,16,amd
1850,18.258580,16,amd
1900,19.275733,16,amd
1950,21.468951,16,amd
2000,22.287150,16,amd
2100,25.100539,16,amd
2200,28.246253,16,amd
2300,32.258009,16,amd
2400,37.093085,16,amd
2500,41.288677,16,amd
2600,46.477807,16,amd
2700,52.480444,16,amd
2800,58.254591,16,amd
2900,64.571500,16,amd
3000,71.172998,16,amd
3200,86.485362,16,amd
3400,102.635826,16,amd
3600,121.621670,16,amd
3800,142.380092,16,amd
4000,166.100333,16,amd
4200,190.690949,16,amd
4400,219.798863,16,amd
4600,249.102151,16,amd
4800,283.027178,16,amd
5000,319.429067,16,amd
