n,time,threads
1000,0.880760,12
1050,1.163183,12
1100,1.323832,12
1150,0.858211,12
1200,1.890028,12
1250,1.760102,12
1300,1.669466,12
1350,1.828020,12
1400,2.499534,12
1450,2.220539,12
1500,2.710711,12
1550,3.073767,12
1600,3.571187,12
1650,3.506835,12
1700,3.622898,12
1750,5.116682,12
1800,3.991429,12
1850,4.411167,12
1900,5.024236,12
1950,5.877142,12
2000,5.376044,12
2100,5.843835,12
2200,7.420649,12
2300,8.396132,12
2400,9.944927,12
2500,12.386878,12
2600,11.266066,12
2700,12.934564,12
2800,17.384412,12
2900,17.814218,12
3000,22.452988,12
3200,24.151601,12
3400,35.865362,12
3600,58.445965,12
3800,66.699757,12
4000,85.753954,12
4200,104.263248,12
4400,127.245720,12
4600,150.851001,12
4800,172.211951,12
5000,203.547047,12
20,0.003144,8
30,0.002316,8
40,0.002587,8
50,0.003010,8
60,0.018133,8
70,0.003955,8
80,0.004163,8
90,0.008057,8
100,0.005108,8
110,0.006890,8
120,0.006388,8
130,0.023000,8
140,0.008211,8
150,0.096823,8
160,0.024817,8
170,0.035737,8
180,0.015758,8
190,0.063558,8
200,0.025566,8
210,0.117522,8
220,0.115953,8
230,0.109059,8
240,0.114284,8
250,0.040447,8
260,0.038591,8
270,0.062967,8
280,0.042306,8
290,0.043014,8
300,0.072928,8
310,0.072281,8
320,0.076504,8
330,0.084508,8
340,0.059902,8
350,0.108570,8
360,0.083470,8
370,0.256002,8
380,0.306783,8
390,0.322008,8
400,0.321457,8
410,0.278928,8
420,0.218488,8
430,0.317768,8
440,0.363708,8
450,0.226360,8
460,0.207791,8
470,0.126035,8
480,0.129665,8
490,0.205302,8
500,0.133103,8
520,0.143910,8
540,0.200863,8
560,0.334160,8
580,0.577546,8
600,0.578717,8
620,0.584852,8
640,0.645278,8
660,0.483056,8
680,0.425653,8
700,0.443710,8
720,0.495141,8
740,0.620521,8
760,0.693688,8
780,0.826631,8
800,0.605953,8
820,0.642662,8
840,1.092573,8
860,0.896875,8
880,0.734793,8
900,0.910049,8
920,1.139343,8
940,1.307102,8
960,0.981154,8
980,0.995179,8
1000,1.266312,8
1050,1.391018,8
1100,1.394432,8
1150,1.728353,8
1200,1.937748,8
1250,2.424503,8
1300,2.437284,8
1350,2.602981,8
1400,3.182105,8
1450,3.404872,8
1500,3.725909,8
1550,3.506468,8
1600,3.784741,8
1650,4.029343,8
1700,4.496775,8
1750,4.622274,8
1800,5.010785,8
1850,5.401533,8
1900,5.594740,8
1950,6.694066,8
2000,7.164818,8
2100,10.010816,8
2200,9.170603,8
2300,10.503223,8
2400,12.470436,8
2500,13.802992,8
2600,14.907873,8
2700,18.134834,8
2800,19.414437,8
2900,24.753292,8
3000,27.032359,8
3200,38.269738,8
3400,47.530203,8
3600,66.242938,8
3800,75.536081,8
4000,97.251147,8
4200,108.573234,8
4400,132.952630,8
4600,152.897065,8
4800,181.770651,8
5000,201.812763,8
20,0.001334,4
30,0.001367,4
40,0.001990,4
50,0.001764,4
60,0.003263,4
70,0.004115,4
80,0.004107,4
90,0.005044,4
100,0.007006,4
110,0.007244,4
120,0.009944,4
130,0.047156,4
140,0.020002,4
150,0.058588,4
160,0.010389,4
170,0.029482,4
180,0.048969,4
190,0.028550,4
200,0.062359,4
210,0.041225,4
220,0.049518,4
230,0.073841,4
240,0.055745,4
250,0.115444,4
260,0.084446,4
270,0.079096,4
280,0.091410,4
290,0.090290,4
300,0.157851,4
310,0.134021,4
320,0.166741,4
330,0.105485,4
340,0.137314,4
350,0.125956,4
360,0.138646,4
370,0.195509,4
380,0.185560,4
390,0.148190,4
400,0.153885,4
410,0.150018,4
420,0.204938,4
430,0.201577,4
440,0.329989,4
450,0.341835,4
460,0.322075,4
470,0.234209,4
480,0.308205,4
490,0.336745,4
500,0.362466,4
